best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient,random_wordvec
40.882,77.117,50.109,78.704,48.963,78.688,0.001,1e-08,0.1,300,16,-1,3,1e-07,False
41.38,77.287,49.313,78.945,49.313,78.945,0.001,1e-08,0.1,300,16,-1,2,1e-07,False
42.831,78.424,48.835,79.422,48.611,78.86,0.001,1e-08,0.14,300,16,-1,2,1e-07,False
39.867,76.91,49.04,79.553,47.923,79.553,0.001,1e-08,0.2,300,16,-1,2,1e-07,False
41.537,77.318,48.76,79.452,48.722,79.452,0.001,1e-08,0.2,300,16,-1,1,1e-07,False
41.43,76.725,50.798,78.663,48.574,78.663,0.001,1e-08,0.14,300,16,-1,3,1e-07,False
41.516,76.394,50.842,79.115,50.842,79.115,0.001,1e-08,0.2,300,16,-1,3,1e-07,False
42.294,78.965,49.55,79.591,45.201,78.862,0.001,1e-08,0.3,300,16,-1,2,1e-07,False
41.879,75.99,50.846,79.255,48.146,78.996,0.001,1e-08,0.3,300,16,-1,3,1e-07,False
38.81,77.776,49.61,79.438,46.733,79.438,0.001,1e-08,0.3,300,16,-1,1,1e-07,False
43.998,0.0,50.7,80.146,48.959,80.146,0.001,1e-08,0.4,300,16,-1,1,1e-07,False
45.542,0.0,50.227,80.218,50.227,80.218,0.001,1e-08,0.5,300,16,-1,1,1e-07,False
42.322,76.499,50.756,79.487,49.073,79.487,0.001,1e-08,0.4,300,16,-1,3,1e-07,False
42.1,79.397,51.023,79.461,48.616,79.461,0.001,1e-08,0.4,300,16,-1,2,1e-07,False
43.593,79.163,51.623,80.048,51.623,80.048,0.001,1e-08,0.5,300,16,-1,2,1e-07,False
41.18,76.678,49.811,78.691,47.494,78.691,0.001,1e-08,0.07,300,16,-1,2,1e-06,False
42.138,0.0,49.276,78.849,46.907,78.849,0.001,1e-08,0.07,300,16,-1,1,1e-06,False
43.015,79.309,51.736,79.815,49.746,79.815,0.001,1e-08,0.5,300,16,-1,3,1e-07,False
41.736,76.923,50.347,78.625,50.347,78.625,0.001,1e-08,0.07,300,16,-1,3,1e-06,False
40.993,77.463,49.05,79.025,49.05,79.025,0.001,1e-08,0.1,300,16,-1,2,1e-06,False
41.543,76.42,49.325,78.75,49.254,78.75,0.001,1e-08,0.1,300,16,-1,3,1e-06,False
41.657,77.331,49.212,79.057,48.449,79.057,0.001,1e-08,0.1,300,16,-1,1,1e-06,False
43.82,0.0,49.768,79.13,46.228,79.13,0.001,1e-08,0.14,300,16,-1,1,1e-06,False
43.075,0.0,48.683,79.053,46.045,79.053,0.001,1e-08,0.2,300,16,-1,1,1e-06,False
40.988,77.444,48.462,79.033,46.414,79.033,0.001,1e-08,0.14,300,16,-1,3,1e-06,False
41.563,77.085,49.214,79.29,47.7,79.29,0.001,1e-08,0.14,300,16,-1,2,1e-06,False
43.078,76.973,48.583,79.49,47.432,79.37,0.001,1e-08,0.2,300,16,-1,2,1e-06,False
43.189,78.218,50.844,79.691,48.372,79.691,0.001,1e-08,0.3,300,16,-1,1,1e-06,False
41.795,79.031,49.14,79.966,49.14,79.312,0.001,1e-08,0.3,300,16,-1,2,1e-06,False
42.572,78.27,50.543,79.02,48.246,78.806,0.001,1e-08,0.2,300,16,-1,3,1e-06,False
42.82,78.852,49.561,79.739,48.994,79.017,0.001,1e-08,0.3,300,16,-1,3,1e-06,False
42.853,79.342,52.654,79.538,47.858,79.333,0.001,1e-08,0.4,300,16,-1,2,1e-06,False
42.474,78.358,50.518,79.44,49.383,79.44,0.001,1e-08,0.4,300,16,-1,3,1e-06,False
45.997,79.16,50.451,80.05,48.297,80.05,0.001,1e-08,0.4,300,16,-1,1,1e-06,False
44.31,0.0,50.287,80.181,48.339,80.181,0.001,1e-08,0.5,300,16,-1,1,1e-06,False
44.579,0.0,48.34,78.899,47.966,78.821,0.001,1e-08,0.07,300,16,-1,1,1e-05,False
41.687,77.696,49.754,79.715,48.074,79.715,0.001,1e-08,0.5,300,16,-1,3,1e-06,False
43.262,79.319,49.812,79.809,49.318,79.292,0.001,1e-08,0.5,300,16,-1,2,1e-06,False
40.937,76.712,48.808,79.354,48.254,79.354,0.001,1e-08,0.07,300,16,-1,2,1e-05,False
41.96,77.464,50.398,78.731,46.958,78.731,0.001,1e-08,0.1,300,16,-1,2,1e-05,False
41.923,78.82,49.386,79.249,48.213,79.249,0.001,1e-08,0.1,300,16,-1,1,1e-05,False
40.756,77.141,49.901,78.487,47.16,78.487,0.001,1e-08,0.07,300,16,-1,3,1e-05,False
41.61,76.896,50.608,78.886,48.781,78.63,0.001,1e-08,0.1,300,16,-1,3,1e-05,False
41.036,78.611,49.328,79.133,48.831,78.888,0.001,1e-08,0.14,300,16,-1,2,1e-05,False
42.696,77.474,50.023,78.864,49.289,78.846,0.001,1e-08,0.14,300,16,-1,3,1e-05,False
42.142,78.544,48.731,79.576,47.669,79.576,0.001,1e-08,0.14,300,16,-1,1,1e-05,False
43.229,0.0,50.511,79.783,48.042,79.783,0.001,1e-08,0.2,300,16,-1,1,1e-05,False
43.366,0.0,49.431,79.856,48.323,79.715,0.001,1e-08,0.3,300,16,-1,1,1e-05,False
41.865,76.943,48.546,79.776,48.47,79.776,0.001,1e-08,0.2,300,16,-1,3,1e-05,False
41.165,76.94,50.044,79.359,49.325,79.359,0.001,1e-08,0.2,300,16,-1,2,1e-05,False
43.405,78.836,49.453,79.987,48.299,79.987,0.001,1e-08,0.3,300,16,-1,2,1e-05,False
46.671,79.321,51.845,80.753,46.429,80.753,0.001,1e-08,0.4,300,16,-1,1,1e-05,False
42.973,79.035,50.994,79.34,49.842,79.34,0.001,1e-08,0.4,300,16,-1,2,1e-05,False
44.129,0.0,49.886,79.222,49.886,79.158,0.001,1e-08,0.3,300,16,-1,3,1e-05,False
44.046,0.0,50.612,79.665,49.153,79.665,0.001,1e-08,0.4,300,16,-1,3,1e-05,False
43.323,78.874,50.796,80.063,49.719,79.906,0.001,1e-08,0.5,300,16,-1,2,1e-05,False
41.996,77.48,50.109,79.337,47.791,79.337,0.001,1e-08,0.5,300,16,-1,3,1e-05,False
