best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
67.851,70.628,55.469,60.344,53.377,59.291,0.001,1e-08,0.3,300,16,-1,4,4
69.182,76.79,54.905,59.824,53.597,58.692,0.001,1e-08,0.3,300,16,-1,3,4
63.861,69.11,53.604,60.681,53.604,58.915,0.001,1e-08,0.5,300,16,-1,4,4
70.489,71.009,55.06,60.788,55.06,60.361,0.001,1e-08,0.4,300,16,-1,2,4
65.613,72.203,55.275,61.101,55.275,57.751,0.001,1e-08,0.4,300,16,-1,1,4
66.27,73.727,55.673,61.364,54.728,59.674,0.001,1e-08,0.1,300,16,-1,2,5
67.598,70.64,54.938,60.166,54.938,59.23,0.001,1e-08,0.4,300,16,-1,5,4
69.611,72.2,54.153,61.833,54.153,58.002,0.001,1e-08,0.4,300,16,-1,4,4
70.45,72.918,55.768,60.268,55.768,59.301,0.001,1e-08,0.1,300,16,-1,5,5
68.971,67.358,55.173,60.385,55.173,60.385,0.001,1e-08,0.5,300,16,-1,3,4
62.013,67.785,52.592,61.165,52.112,61.165,0.001,1e-08,0.5,300,16,-1,2,4
64.84,69.356,54.725,60.154,53.834,59.372,0.001,1e-08,0.2,300,16,-1,3,5
67.76,66.783,56.234,60.522,55.734,59.827,0.001,1e-08,0.1,300,16,-1,1,5
58.333,71.552,53.166,59.954,53.166,59.001,0.001,1e-08,0.5,300,16,-1,5,4
68.506,68.904,55.777,60.923,55.777,60.011,0.001,1e-08,0.3,300,16,-1,1,5
68.062,68.997,55.396,59.909,54.258,59.722,0.001,1e-08,0.1,300,16,-1,4,5
68.343,65.818,54.535,60.962,54.535,59.853,0.001,1e-08,0.3,300,16,-1,4,5
65.327,73.177,53.871,61.61,53.784,59.848,0.001,1e-08,0.1,300,16,-1,3,5
66.877,72.536,55.108,60.173,55.108,58.686,0.001,1e-08,0.2,300,16,-1,2,5
68.349,55.472,55.752,60.861,55.752,60.861,0.001,1e-08,0.4,300,16,-1,2,5
66.0,71.221,55.064,61.903,53.731,59.703,0.001,1e-08,0.2,300,16,-1,1,5
68.331,71.137,56.208,61.544,56.208,59.947,0.001,1e-08,0.2,300,16,-1,5,5
66.104,64.928,55.83,61.314,54.648,60.714,0.001,1e-08,0.4,300,16,-1,5,5
61.87,67.988,55.47,61.288,55.47,60.895,0.001,1e-08,0.2,300,16,-1,4,5
67.255,68.943,54.364,60.763,54.14,60.763,0.001,1e-08,0.5,300,16,-1,3,5
61.538,74.298,55.511,60.318,54.347,57.068,0.001,1e-08,0.3,300,16,-1,3,5
64.98,62.557,54.645,59.822,54.315,58.693,0.001,1e-08,0.3,300,16,-1,2,5
70.524,60.854,54.804,60.399,54.482,58.82,0.001,1e-08,0.1,200,16,-1,1,1
72.348,71.597,55.779,61.641,55.779,61.171,0.001,1e-08,0.4,300,16,-1,1,5
69.333,72.345,55.31,60.88,54.018,60.111,0.001,1e-08,0.3,300,16,-1,5,5
63.033,66.999,56.206,61.92,55.38,58.829,0.001,1e-08,0.1,200,16,-1,4,1
58.769,74.634,52.706,60.922,52.706,57.516,0.001,1e-08,0.4,300,16,-1,4,5
61.713,67.554,54.315,59.679,54.315,59.663,0.001,1e-08,0.4,300,16,-1,3,5
67.816,73.902,55.941,60.327,55.941,58.056,0.001,1e-08,0.2,200,16,-1,2,1
67.5,48.457,54.855,60.479,54.056,59.971,0.001,1e-08,0.5,300,16,-1,2,5
63.449,55.798,52.438,60.875,52.353,60.35,0.001,1e-08,0.5,300,16,-1,1,5
67.825,32.31,55.023,60.86,55.023,59.788,0.001,1e-08,0.2,200,16,-1,5,1
60.0,69.689,52.847,59.604,52.847,59.267,0.001,1e-08,0.5,300,16,-1,5,5
60.778,68.855,53.472,60.446,53.472,60.446,0.001,1e-08,0.5,300,16,-1,4,5
67.088,69.36,56.468,60.164,55.11,59.397,0.001,1e-08,0.3,200,16,-1,3,1
65.453,45.192,57.076,60.805,57.076,59.664,0.001,1e-08,0.1,200,16,-1,3,1
66.427,66.93,56.063,60.254,56.063,58.492,0.001,1e-08,0.1,200,16,-1,2,1
70.685,66.867,55.263,61.622,55.116,60.583,0.001,1e-08,0.4,200,16,-1,1,1
70.146,66.594,55.573,59.519,55.533,58.593,0.001,1e-08,0.2,200,16,-1,1,1
66.068,72.15,55.341,60.351,55.341,58.087,0.001,1e-08,0.4,200,16,-1,4,1
68.553,66.626,54.217,60.18,54.217,60.18,0.001,1e-08,0.1,200,16,-1,5,1
73.068,71.007,55.622,61.128,55.622,58.95,0.001,1e-08,0.2,200,16,-1,4,1
67.179,69.193,55.345,60.151,55.302,59.463,0.001,1e-08,0.5,200,16,-1,2,1
68.578,32.31,57.571,60.533,56.115,60.274,0.001,1e-08,0.2,200,16,-1,3,1
69.851,68.496,56.622,61.311,56.622,58.417,0.001,1e-08,0.3,200,16,-1,2,1
66.26,71.927,55.78,61.204,55.78,57.968,0.001,1e-08,0.5,200,16,-1,5,1
66.821,71.495,55.579,61.014,54.526,59.178,0.001,1e-08,0.3,200,16,-1,1,1
66.364,70.851,54.453,60.785,54.34,58.719,0.001,1e-08,0.3,200,16,-1,5,1
67.879,70.807,56.833,60.796,56.021,59.183,0.001,1e-08,0.1,200,16,-1,3,2
68.831,69.031,54.704,60.654,54.704,58.631,0.001,1e-08,0.3,200,16,-1,4,1
67.316,73.689,56.708,61.499,56.708,57.593,0.001,1e-08,0.2,200,16,-1,1,2
69.54,72.673,56.918,61.564,56.918,58.681,0.001,1e-08,0.4,200,16,-1,3,1
71.87,71.834,55.354,60.165,55.354,60.165,0.001,1e-08,0.4,200,16,-1,2,1
67.884,70.174,55.59,61.143,53.649,58.47,0.001,1e-08,0.2,200,16,-1,4,2
65.336,72.543,55.713,60.029,55.035,56.516,0.001,1e-08,0.5,200,16,-1,1,1
69.818,67.073,56.061,60.703,56.061,59.394,0.001,1e-08,0.4,200,16,-1,5,1
72.635,71.336,56.251,61.507,56.251,56.697,0.001,1e-08,0.3,200,16,-1,2,2
69.61,70.08,55.76,61.489,55.76,58.989,0.001,1e-08,0.5,200,16,-1,4,1
68.319,68.514,55.655,61.254,55.042,59.119,0.001,1e-08,0.5,200,16,-1,3,1
67.156,67.384,55.49,61.924,55.49,58.732,0.001,1e-08,0.3,200,16,-1,5,2
65.261,65.535,56.845,60.806,53.977,58.776,0.001,1e-08,0.1,200,16,-1,2,2
68.857,68.902,55.818,61.756,55.818,57.9,0.001,1e-08,0.1,200,16,-1,1,2
68.358,75.551,55.17,61.265,55.17,58.976,0.001,1e-08,0.4,200,16,-1,3,2
66.26,65.891,55.872,61.183,55.79,60.495,0.001,1e-08,0.1,200,16,-1,5,2
73.247,71.523,55.677,61.382,55.677,60.02,0.001,1e-08,0.1,200,16,-1,4,2
67.794,69.446,55.261,62.352,55.261,60.661,0.001,1e-08,0.5,200,16,-1,1,2
71.008,70.19,57.545,61.182,57.545,57.586,0.001,1e-08,0.2,200,16,-1,3,2
68.627,66.046,55.881,60.354,55.455,60.033,0.001,1e-08,0.2,200,16,-1,2,2
63.798,61.959,55.855,61.093,55.855,59.214,0.001,1e-08,0.5,200,16,-1,4,2
67.313,69.481,55.76,61.869,55.195,57.962,0.001,1e-08,0.3,200,16,-1,1,2
67.04,66.85,56.404,60.835,55.659,59.728,0.001,1e-08,0.1,200,16,-1,2,3
71.616,68.614,55.049,59.837,55.049,59.124,0.001,1e-08,0.2,200,16,-1,5,2
67.911,70.504,57.09,60.795,56.036,58.274,0.001,1e-08,0.3,200,16,-1,4,2
68.351,72.495,56.3,60.926,54.337,58.235,0.001,1e-08,0.3,200,16,-1,3,2
69.932,69.477,55.122,61.921,55.095,57.959,0.001,1e-08,0.1,200,16,-1,5,3
67.179,71.97,56.935,61.199,56.935,58.634,0.001,1e-08,0.4,200,16,-1,2,2
69.345,70.882,56.861,61.67,56.861,59.489,0.001,1e-08,0.4,200,16,-1,1,2
66.827,71.252,56.031,61.141,55.425,57.465,0.001,1e-08,0.2,200,16,-1,3,3
65.337,61.439,55.305,60.024,55.305,59.749,0.001,1e-08,0.4,200,16,-1,5,2
66.124,69.121,55.06,61.268,54.651,59.892,0.001,1e-08,0.3,200,16,-1,1,3
70.963,69.628,56.314,60.033,56.314,57.408,0.001,1e-08,0.4,200,16,-1,4,2
65.11,70.624,55.781,61.427,54.714,59.798,0.001,1e-08,0.5,200,16,-1,3,2
69.936,71.9,55.21,61.515,55.187,58.576,0.001,1e-08,0.3,200,16,-1,4,3
62.624,74.318,55.955,60.982,55.491,55.931,0.001,1e-08,0.5,200,16,-1,2,2
70.06,68.859,56.655,60.305,56.655,57.691,0.001,1e-08,0.1,200,16,-1,1,3
67.637,76.491,56.902,61.401,56.902,57.43,0.001,1e-08,0.4,200,16,-1,2,3
64.925,63.108,56.11,60.094,56.11,59.964,0.001,1e-08,0.5,200,16,-1,5,2
68.107,69.787,55.763,61.382,55.763,58.273,0.001,1e-08,0.1,200,16,-1,4,3
70.664,70.844,57.478,61.312,57.478,59.984,0.001,1e-08,0.4,200,16,-1,5,3
65.75,71.499,55.979,60.788,55.818,57.777,0.001,1e-08,0.1,200,16,-1,3,3
70.691,71.066,56.377,61.537,54.723,59.102,0.001,1e-08,0.2,200,16,-1,2,3
66.229,68.792,54.9,61.155,54.9,58.344,0.001,1e-08,0.5,200,16,-1,3,3
67.368,72.797,56.486,61.74,55.9,57.673,0.001,1e-08,0.2,200,16,-1,1,3
61.861,69.986,56.409,61.694,56.409,57.193,0.001,1e-08,0.1,200,16,-1,1,4
68.877,70.611,53.94,62.488,53.791,58.669,0.001,1e-08,0.2,200,16,-1,5,3
66.793,71.393,55.876,60.969,54.49,58.117,0.001,1e-08,0.2,200,16,-1,4,3
67.117,65.006,56.301,61.105,54.785,59.768,0.001,1e-08,0.1,200,16,-1,4,4
66.528,70.953,56.203,60.706,56.203,56.542,0.001,1e-08,0.3,200,16,-1,3,3
67.659,69.879,56.008,61.443,54.972,56.806,0.001,1e-08,0.3,200,16,-1,2,3
69.183,70.484,55.138,61.203,53.427,59.834,0.001,1e-08,0.2,200,16,-1,2,4
66.51,68.848,54.923,60.787,54.298,60.397,0.001,1e-08,0.4,200,16,-1,1,3
68.147,72.641,55.694,61.454,55.694,58.749,0.001,1e-08,0.3,200,16,-1,5,3
70.085,71.832,55.369,62.905,55.369,59.562,0.001,1e-08,0.2,200,16,-1,5,4
67.707,71.952,55.689,60.847,54.488,59.963,0.001,1e-08,0.4,200,16,-1,4,3
67.762,70.941,55.077,60.545,55.077,57.91,0.001,1e-08,0.4,200,16,-1,3,3
68.207,71.411,55.859,61.099,55.165,56.004,0.001,1e-08,0.3,200,16,-1,3,4
61.146,75.895,54.233,61.642,53.021,56.099,0.001,1e-08,0.5,200,16,-1,2,3
62.379,68.803,54.811,60.46,52.812,59.118,0.001,1e-08,0.5,200,16,-1,1,3
66.578,69.097,55.809,60.214,55.809,58.198,0.001,1e-08,0.4,200,16,-1,1,4
62.324,60.989,55.54,60.813,55.54,60.813,0.001,1e-08,0.5,200,16,-1,5,3
67.582,71.109,54.372,63.016,54.113,59.002,0.001,1e-08,0.4,200,16,-1,4,4
